
Transactions
User,Olivier Brunel,ab12c34d-5e67-8901-2f34-5a6b78901c2d
Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2023-07-13 22:32:23 UTC,Staking Income,SOL,0.000016517,EUR,22.96,0.00,0.00,0,
2023-07-13 05:58:19 UTC,Receive,SOL,0.000014787,EUR,19.44,0.00,0.00,0,Received 0.000014787 SOL from 
2023-07-13 02:01:34 UTC,Receive,SOL,0.000014761,EUR,19.55,0.00,0.00,0,Received 0.000014761 SOL from 
2023-07-13 00:57:05 UTC,Receive,SOL,0.000015511,EUR,19.55,0.00,0.00,0,Received 0.000015511 SOL from 
2023-07-12 03:33:40 UTC,Receive,SOL,0.000015106,EUR,19.93,0.00,0.00,0,Received 0.000015106 SOL from 
2023-07-12 00:14:04 UTC,Receive,SOL,0.00001512,EUR,20.03,0.00,0.00,0,Received 0.00001512 SOL from 
2023-07-07 04:25:17 UTC,Staking Income,SOL,0.000016621,EUR,18.37,0.00,0.00,0,
2023-07-07 00:31:17 UTC,Staking Income,SOL,0.00001666,EUR,18.23,0.00,0.00,0,
2023-07-04 16:55:12 UTC,Receive,USDC,0.012652,EUR,0.92,0.01,0.01,0,Received 0.012652 USDC from 
2023-07-04 02:05:35 UTC,Staking Income,SOL,0.000016648,EUR,17.70,0.00,0.00,0,
2023-06-29 23:37:03 UTC,Staking Income,SOL,0.000016585,EUR,16.50,0.00,0.00,0,
2023-06-29 14:01:16 UTC,Staking Income,SOL,0.000016604,EUR,16.13,0.00,0.00,0,
2023-06-29 12:15:06 UTC,Staking Income,SOL,0.000015389,EUR,16.55,0.00,0.00,0,
2023-06-29 07:15:13 UTC,Staking Income,SOL,0.000015957,EUR,14.98,0.00,0.00,0,
2023-06-29 04:56:06 UTC,Staking Income,SOL,0.000016164,EUR,14.78,0.00,0.00,0,
2023-06-27 19:20:19 UTC,Staking Income,SOL,0.00000759,EUR,15.25,0.00,0.00,0,
2023-06-27 08:39:59 UTC,Staking Income,SOL,0.000015961,EUR,15.17,0.00,0.00,0,
2023-06-27 06:10:55 UTC,Staking Income,SOL,0.000016591,EUR,15.04,0.00,0.00,0,
2023-06-24 22:45:08 UTC,Staking Income,SOL,0.000009097,EUR,15.19,0.00,0.00,0,
2023-06-24 05:14:20 UTC,Staking Income,SOL,0.00001612,EUR,15.88,0.00,0.00,0,
2023-06-24 03:57:57 UTC,Staking Income,SOL,0.000016035,EUR,15.95,0.00,0.00,0,
2023-06-24 03:17:44 UTC,Staking Income,SOL,0.0000161,EUR,16.04,0.00,0.00,0,
2023-06-23 04:11:03 UTC,Staking Income,SOL,0.000016548,EUR,15.33,0.00,0.00,0,
2023-06-23 02:43:33 UTC,Staking Income,SOL,0.000016432,EUR,15.29,0.00,0.00,0,
2023-06-22 22:47:13 UTC,Staking Income,SOL,0.000016647,EUR,15.22,0.00,0.00,0,
2023-06-21 18:58:25 UTC,Staking Income,SOL,0.00001645,EUR,15.55,0.00,0.00,0,
2023-06-21 18:39:36 UTC,Staking Income,SOL,0.000016204,EUR,15.60,0.00,0.00,0,
2023-06-21 18:06:42 UTC,Staking Income,SOL,0.000016698,EUR,15.48,0.00,0.00,0,
2023-06-21 03:46:31 UTC,Staking Income,SOL,0.000016265,EUR,15.37,0.00,0.00,0,
2023-06-21 03:02:13 UTC,Staking Income,SOL,0.000016463,EUR,15.41,0.00,0.00,0,
2023-06-21 00:39:20 UTC,Staking Income,SOL,0.000016658,EUR,15.27,0.00,0.00,0,
